lat,lon,aqi,uid,pm10,fold
35.5211721,127.7244433,65,11507,35,3
36.07865,126.96658,65,13005,28,1
36.537527,129.407086,42,13530,24,1
34.8419256,127.3477777,59,12551,25,1
37.0746,127.4244,70,12992,39,2
35.46153,129.20881,57,13010,39,1
37.010228,127.81517,61,12947,39,5
35.08298,128.9667622,63,1758,39,3
35.610533,127.186217,55,4537,28,5
37.657415,127.067876,76,1675,39,2
34.71005,128.58745,61,4513,33,3
37.0898105,126.8152695,95,11344,54,3
37.327927,127.095215,85,3963,38,2
37.441164,126.706817,95,12999,61,2
35.082551,128.091236,61,1784,38,1
35.869596,127.074632,74,13971,39,3
38.224433,127.958583,34,4508,23,2
37.666362,126.886708,85,9543,52,3
37.906227,126.73108,70,9542,40,3
35.875737,128.812259,78,14005,55,2
35.1743,126.9325,57,1797,30,4
34.698747,125.192314,65,13565,37,5
37.3942527,126.9568209,82,5516,50,4
34.076677,125.092276,68,13563,38,5
38.1466058,127.3124628,46,11490,19,3
35.152309,129.108101,68,1760,30,2
37.3125964,127.8171686,68,11347,31,5
37.525007,126.89737,91,1686,40,5
37.649034,126.675064,95,13245,51,2
36.059713,127.08331,72,13969,52,1
36.66707,129.11228,89,12982,44,5
37.4112,127.2579,63,1696,28,5
37.537745,126.63879,99,11333,57,3
34.0150077,131.8703504,42,2060,12,2
35.695336,128.459293,87,1770,53,1
36.35266,128.69676,65,12979,34,5
35.80491,126.891416,76,9012,35,5
35.761674,126.698103,-,13560,52,5
36.82863,128.62621,85,13956,39,4
36.597702,126.655133,85,9552,27,1
36.824238,126.25722,57,14014,54,2
35.154292,128.979342,97,1757,51,4
36.923449,127.75545,65,12945,24,2
37.138467,127.54645,91,4506,32,2
36.731582,127.008906,50,14015,20,2
37.542036,127.049685,70,1682,40,4
34.0032153,130.988226,57,2210,15,4
36.425168,127.395931,82,13522,36,5
36.455152,126.804931,50,10456,17,2
37.390588,127.077838,65,3943,34,5
36.275495,126.911297,55,9546,21,5
36.813261,127.615808,91,14020,63,3
36.889977,126.645799,68,10471,36,2
36.420285,129.3637254,50,12981,27,4
35.3744761,127.1373331,38,11348,21,5
36.3504119,127.3845475,70,5519,34,1
36.51212,127.24643,80,9010,29,2
34.9363617,127.5485334,38,11512,29,1
36.905231,127.964141,68,12948,26,3
38.0752566,128.6181141,53,11492,23,2
34.738486,127.732612,95,13567,39,4
35.923033,128.550652,68,1772,35,2
35.409278,127.384754,63,1801,28,5
35.941567,127.165783,70,13004,26,5
37.554936,126.937619,68,8499,35,4
38.0601472,128.1665652,-,11892,20,4
35.1708927,129.1741659,70,1811,36,4
35.236111,128.683889,72,4017,31,2
36.3692,128.456533,74,4524,28,2
37.382662,127.119103,68,1703,25,1
34.6446579,126.7711918,42,11894,23,2
35.816726,128.528732,85,10469,52,3
35.2834576,127.2896401,61,12550,39,4
35.311711,126.972914,68,10453,32,2
35.1795543,129.0756416,72,5521,39,2
35.217333,128.656617,82,4021,34,4
35.2178,128.6023,68,4022,31,3
