coveragefraction20,coveragefraction30,coveragefraction40,coveragefraction50,coveragefraction60,coveragefraction80,coveragefraction90,coveragefraction111,coveragefraction112,coveragefraction113,coveragefraction114,coveragefraction115,coveragefraction116,coveragefraction121,coveragefraction122,coveragefraction123,coveragefraction124,coveragefraction125,coveragefraction126,coveragefraction200
0,0.009290849193892989,0.0017636301436355281,0,0,3.20374110134241e-4,0.022459749850100096,0.004363977576384731,0,0,0.9167587159675404,0,0.01989256874778294,0,0,0,0.0094106560823346,0,0.015739478328194483,0
0,6.407482198601192e-4,0,0,0,0,0.00832972685818155,0.01598135095201243,0,0,0.9161900681476863,0,0.039519644694159965,0,0,0,0.00832972685818155,0,0.011008734269918033,0
0,0.003524115211119668,0.001281496440407152,0,0,0,0,0.006657303506658748,0,0,0.9773348873111265,0,0.001286094599818297,0,0,0,0.004946108956704466,0,0.004969993974165192,0
0,0.005821597357489013,0,0,0,0,0,9.611223305254612e-4,0,0,0.9772590371333447,0,0.006639352735065259,0,0,0,0.007076271672349465,0,0.002242618771226076,0
0,0.01566863963394709,0.0012395437365024487,0,0,0,0,0,0,0,0.9220800695489878,0,0.011525441285284129,0,0,0,0.02946675531095578,0,0.02001955048432272,0
0,0.013595651050296295,0,0,0,0,0,0.0016018705513021025,0,0,0.949378993250296,0,0.012607901633242158,0,0,0,0.012629644752890216,0,0.010185938761973299,0
0.003247227380084141,0.03837236730591669,0.10344143687004206,9.611223307789674e-4,0,0,0,0,0,0,0.8102386969386645,6.407482205193116e-4,0.016260500124089996,0,0,0,0.0029078108956979757,0,0.023930089934206374,0
0.003524115211922485,0.013824246899335712,0.021145208972588973,0.0019222446610486282,0,0,0,0.0018580335609890025,0,0,0.9206237638872036,0,0.014277260399179386,0,0,0,0.007967400049841268,0,0.01485772635789102,0
0,0.0012814964405346697,0.010508285959160977,0,0,0,3.2037411013366744e-4,0.011277304997695265,0,0,0.9452299559669198,0,0.006087108092539682,0,0,0,0.010686384717367329,0,0.014609089715648607,0
0,6.2090246762791e-4,0,9.412765778913895e-4,0,0,0,3.203741102634794e-4,0,0,0.9958748280723728,0,0,0,0,0,0.0012814964410539176,0,9.611223307904382e-4,0
0,0.0013013421837077166,6.407482201835976e-4,3.402198534323202e-4,0,0,0,0.03537189892602626,0,0,0.955772028896789,0,0.004537478176368908,0,0,0,0,0,0.002036283743492192,0
