station,x,y
Seo-gu Office,126.6768161,37.5439777
Sang-dong,126.7531743,37.5058355
Yesan,126.8284677,36.6871147
Wangsimni,127.0357093,37.5609924
City Hall,126.977114,37.5654798
Jochiwon,127.2958888,36.60102
Jeonui,127.2023372,36.6784389
Buncheon,129.0586911,36.9325881
Uijeongbu,127.0460501,37.7377035
Gwaebeop Renecite,128.977588,35.1632816
Chunui,126.7872014,37.5037314
Bucheon Stadium,126.7974606,37.5058364
Seocheon,126.7084727,36.0821954
Daecheong,127.0795515,37.4936283
Yangjae,127.0341455,37.4844005
Itaewon,126.9943705,37.5345026
Yemi,128.6483309,37.2124522
Oksu,127.0183585,37.540264
Hampyeong,126.5390794,35.0236844
Dongbaek,129.1480904,35.161277
Yeouido,126.9243018,37.5216685
NA,126.8211538,37.6411644
Dokbawi,126.9330214,37.6183371
Yeonsinnae,126.9211838,37.6189247
Digital Media City,126.8980769,37.5773957
Digital Media City,126.9014558,37.5761895
Deungchon,126.864574,37.5511518
Janggi,126.6690138,37.6440265
Yeongdeungpo Market,126.9051415,37.5226934
NA,126.839832,37.6625411
Yeongdeungpo-gu Office,126.8963369,37.5240181
Mullae,126.8948726,37.5183839
Yangpyeong,126.8861176,37.5256329
Sinpung,126.9088751,37.5001667
Sindaebang,126.9133919,37.4875949
Gasan Digital Complex,126.8828796,37.4804538
Namguro,126.8866651,37.4853612
Sincheon,126.7867997,37.4393096
Imhak,126.7387202,37.5451163
Gwangmyeongsageori,126.8544598,37.4794207
Mangwon,126.9101277,37.5560254
Dangsan,126.902478,37.5345964
Dangsan,126.9026845,37.533531
Yeosu EXPO,127.7492394,34.7555141
Omokgyo,126.8751222,37.5245648
Banghwa,126.812732,37.5774043
Hanseong Baekje,127.1162125,37.5166702
Administration Complex,126.4585816,37.4404999
Imgi,128.9993399,36.9036827
Bidong,129.073834,36.957591
Deokcheon,129.005332,35.2100369
Cheoram,129.036627,37.1130288
Heungguksa,127.6759131,34.8163198
Presbyterian University,128.8672492,35.2593885
Kaya University,128.8649491,35.2668299
Gimhae National Museum,128.8718193,35.2400038
Royal Tomb of King Suro,128.8720995,35.2328426
Deokdu,128.9540604,35.1819535
Incheon International Airport Cargo Terminal,126.4774954,37.4590304
Yeongdeungpo,126.9072076,37.5153957
Sabuk,128.8170335,37.2261666
NA,126.8503633,37.678492
Mok-dong,126.8645174,37.5261241
NA,126.8937392,37.680357
Jeungsan,126.9099118,37.5841441
Jeongdongjin,129.0325076,37.6918304
Meokgol,127.0776518,37.6114417
Sangbong,127.0855918,37.5960832
Eoryong,127.0852152,37.7426841
Jinjeop,127.2032505,37.7200538
Byeollaebyeolgaram,127.1162693,37.6678242
Hyoja,127.0772696,37.753942
Onam,127.1911664,37.7052338
Hangangjin,127.0017506,37.5397964
Cheongnyangni,127.0446284,37.5799754
Wondang,126.8428981,37.6530498
Gyesan,126.7278571,37.543336
Pungmu,126.7324628,37.612374
Dowon,126.6424009,37.4688261
Wolmi Sea,126.616568,37.4754349
Museum,126.5974595,37.4703629
Wolmi Park,126.6061084,37.4763533
Majeon,126.6672467,37.5975663
Bucheon Stadium,126.7972885,37.5054566
Haengdang,127.0299929,37.5576063
Hanyang Univ.,127.0436642,37.5557271
Gochon,126.7702118,37.6012627
Jakjeon,126.7225307,37.5303129
Ssangmun,127.0345788,37.6484028
Beomgol,127.0436814,37.7287726
LRT Uijeongbu,127.0433811,37.7372852
Sae-mal,127.0637819,37.7488539
Konkuk Univ.,127.0708644,37.5404436
Incheon City Hall,126.7020849,37.4572915
Sangok,126.7036926,37.5086974
Bupyeongsamgeori,126.7103571,37.4779093
Arts Center,126.7009761,37.449506
Suraksan,127.0553431,37.6778035
Gajaeul,126.6839791,37.4839499
Seongnam,126.6746369,37.5062862
Saejeol,126.9137922,37.5916491
Janghanpyeong,127.0645666,37.5614909
Ujangsan,126.8363227,37.5488943
Central Park,126.6345613,37.3935066
Incheon Nat'l Univ.,126.6394474,37.386116
Yeongjong,126.524599,37.5118887
Heungseon,127.0371979,37.7432923
Songchu,126.9793955,37.7208329
Munhak Sports Complex,126.6977955,37.4351045
Incheon Bus Terminal,126.6997157,37.4419457
Anguk,126.9861709,37.5768279
Jongno 5(o)-ga,127.0020222,37.5709867
Moraenae Market,126.7194799,37.455858
Mansu,126.7318593,37.4549681
International Business District,126.6304116,37.3997869
Songdo Moonlight Festival Park,126.6261064,37.4068054
Dongmyo,127.0174344,37.5735084
Sungshin Women's University,127.0165294,37.5924189
Sungshin Women's University,127.0164764,37.5926755
Sinseol-dong,127.0231865,37.5759931
Majang,127.042881,37.5660982
Sindang,127.016252,37.5653839
Singeumho,127.0202485,37.554429
Cheonggu,127.0137776,37.5602311
Bukhansan Bogungmun,127.0081741,37.6121803
Junggye,127.0638733,37.6455373
Dolgoji,127.0564932,37.6105663
Sangwolgok,127.0482722,37.6062379
Hagye,127.068252,37.6360179
Dongdaemun,127.0095288,37.5704964
Dongdaemun,127.0114887,37.5718616
Yaksu,127.0103868,37.5549186
Dongguk Univ.,127.005727,37.5590607
Wangsimni,127.0371526,37.5612078
Unseo,126.4937678,37.4928006
Nowon,127.0604932,37.6545911
VHS Medical Center,127.1482582,37.5282799
Dunchon Oryun,127.1384179,37.5198411
Dunchon-dong,127.1362433,37.5278024
Olympic Park,127.1309298,37.5161479
Hwagye,127.0174887,37.6340274
Samyang,127.0181757,37.6269234
Mia,127.0261091,37.6264941
Hyehwa,127.0019525,37.5821381
Hansung University,127.0059624,37.5885141
Sanggye,127.073439,37.6607649
Gaori,127.0165705,37.6419736
Jamsilsaenae,127.085571,37.5115881
Samseong,127.063143,37.5088402
Dongdaemun History & Culture Park,127.0081233,37.5652615
Jegi-dong,127.0344672,37.5783784
Hwagok,126.840397,37.5416728
Godeok,127.1537755,37.5549771
Gangdong,127.1325955,37.5357969
Cheongdam,127.0516784,37.5190912
Yangchon,126.6147983,37.6416413
Songjeong,126.8119428,37.5612772
Sinbanghwa,126.8165921,37.5674973
Gireum,127.0248525,37.6031599
Sapyeong,127.0151398,37.5042952
Yeoksam,127.03696,37.5008221
Nonhyeon,127.0213641,37.5109791
Samjeon,127.0872078,37.5045347
Apgujeong,127.0284989,37.5261847
Sinsa,127.0195159,37.5161089
Sinmang-ri,127.0784611,38.1325039
Jamsil,127.1001365,37.5132169
Jejin,128.388695,38.5675639
Namchuncheon,127.7239381,37.8640114
Gangchon,127.6341294,37.8057137
Gimyujeong,127.7140763,37.8184357
Gulbongsan,127.5571369,37.8319287
Sintan-ri,127.1394867,38.2127801
Danyang,128.34404,36.9731041
Punggi,128.5234721,36.8740554
Gaepo,128.3285628,36.6269426
Cheongju,127.3923613,36.6471132
Ogeunjang,127.4778612,36.6998966
Nokbeon,126.9357307,37.6009733
Gupabal,126.9188046,37.6368919
Sogang Univ.,126.9351841,37.552353
Gwangheungchang,126.9319609,37.5474717
Sangsu,126.9228923,37.5477577
