EA_CODE,ndvimin,ndvimax,ndvimean
10104010,4145.3662109375,7508.6298828125,5874.167375837053
10108002,3375.6279296875,8278.4697265625,5862.5220947265625
10108902,4197.86083984375,7947.38427734375,6058.636439732143
10108010,3471.207763671875,6855.30029296875,5253.144269670759
10108009,3920.239013671875,7483.93505859375,5717.774867466518
10108011,4196.72509765625,7492.7421875,5794.421595982143
10108015,4496.05078125,7442.1826171875,6011.09211077009
10108014,4064.90771484375,7384.880859375,5714.212437220982
10108012,4195.79833984375,7467.39501953125,5796.149937220982
10108013,4745.650390625,7728.56982421875,6143.50519670759
10108005,3446.200439453125,7338.39697265625,5133.952723911831
10108007,2834.65869140625,7641.99951171875,5019.323329380581
10108006,3282.38330078125,7412.36083984375,5126.564505440848
10108004,3260.7646484375,6924.54296875,4983.27716936384
10108003,3777.636962890625,7586.732421875,5628.27668108259
10108001,3009.04638671875,8195.16015625,5614.583164760044
10120710,2474.5205078125,4623.4814453125,3379.926775251116
10120716,1810.947998046875,6099.35498046875,3429.5252859933034
10120709,2389.186279296875,5839.89306640625,3831.0071149553573
10120711,2146.126708984375,4834.89990234375,3527.114100864955
10120703,2170.11767578125,5616.71044921875,3534.073399135045
10120704,2679.27197265625,6409.54296875,4307.1707763671875
10120705,2600.985595703125,6051.69140625,4085.8650425502233
10109901,3890.9228515625,7762.2099609375,5877.387311662947
10109001,3519.882568359375,7587.81640625,5486.693272181919
10109002,3568.141845703125,7414.80322265625,5342.583443777902
10109003,3449.62158203125,7294.525390625,5226.657784598215
10109034,3148.296875,7224.115234375,4949.319301060268
10109004,3670.79833984375,7560.39404296875,5625.685494559152
10109005,3047.558349609375,7433.80615234375,5075.824148995535
10109006,2293.91015625,7232.8603515625,4536.5145263671875
10109007,3043.109130859375,7524.80126953125,5127.643450055803
10109008,2743.819580078125,7617.58837890625,4985.18634905134
10109009,3212.856689453125,7714.0009765625,5371.356009347098
10109010,3165.333251953125,7851.2216796875,5438.948154994419
10109011,3578.1650390625,7647.16064453125,5557.80535016741
10109012,3527.985107421875,7273.537109375,5511.820068359375
10109013,3344.2021484375,7594.44580078125,5666.500470842634
10109014,2633.05859375,7219.05615234375,4723.309012276785
10109015,2538.744384765625,6855.10986328125,4491.9906005859375
10109016,2550.520263671875,7299.8759765625,4592.958251953125
10109017,3068.60498046875,7194.60302734375,4981.338902064732
10109018,2586.094970703125,6914.49853515625,4475.386369977678
10109019,2567.7353515625,6737.533203125,4351.4407958984375
10109020,2375.4736328125,7122.30908203125,4301.532418387277
10109021,2509.758056640625,7119.35791015625,4254.590401785715
10109022,2660.9326171875,6827.115234375,4444.899850027902
10109023,2637.982177734375,6877.72509765625,4371.057652064732
10109024,2968.40234375,7244.4541015625,4613.227451869419
10109025,3262.763916015625,7078.92529296875,5042.997645786831
10109026,2933.245361328125,7066.4697265625,4752.558977399553
10109027,3021.525146484375,6863.5380859375,4659.696184430803
10109028,2916.775634765625,6768.54296875,4594.156110491072
10109029,3097.41748046875,6896.99609375,4863.965541294643
10109030,3498.375732421875,7613.38916015625,5520.540196010044
10109031,3465.209716796875,7693.658203125,5420.707257952009
10109032,3549.267578125,7765.5439453125,5573.534598214285
10109033,3158.442138671875,7018.166015625,4917.269269670759
10109035,3147.40283203125,7252.3916015625,5172.885707310268
10109036,3097.020751953125,7274.177734375,5138.139369419643
10109037,3110.937255859375,7430.60595703125,5179.975359235491
10109038,3274.89208984375,6916.5517578125,5054.234566824777
10109039,3292.22412109375,7041.04296875,5032.698817661831
10109040,2989.767822265625,6967.18603515625,4672.274396623884
10109041,3473.77587890625,7353.70556640625,5343.8592529296875
10109042,3263.91162109375,7246.92724609375,5257.096086774553
10109043,3173.501953125,6921.27392578125,4997.033796037947
10204032,3073.810546875,6717.7978515625,4932.381243024553
10204805,2959.626953125,6710.3447265625,4779.639805385044
10204811,3164.34033203125,6777.7490234375,5145.0123291015625
10204901,4284.26513671875,8186.48193359375,6503.03644670759
10204902,2791.4765625,6505.2060546875,4669.383492606027
10204057,3480.759033203125,7759.67626953125,5618.379690987723
