EA_CODE,month,NDVI
10501053,2,6383.24658203125
10501053,3,6343.38720703125
10501053,4,5983.41943359375
10501053,5,4750.318359375
10501053,6,3790.017333984375
10501053,7,3427.233154296875
10501053,8,3078.34521484375
10501053,9,2708.4482421875
10501053,10,2804.304931640625
10501053,11,2855.498779296875
10501053,12,4027.78466796875
10501052,1,4904.30810546875
10501052,2,6521.53857421875
10501052,3,6472.9951171875
10501052,4,6160.38916015625
10501052,5,5116.17333984375
10501052,6,4297.6328125
10501052,7,3858.32568359375
10501052,8,3467.197509765625
10501052,9,3014.742431640625
10501052,10,3130.872314453125
10501052,11,3212.854248046875
10501052,12,4829.4521484375
10501048,1,5901.3046875
10501048,2,6631.291015625
10501048,3,6611.42724609375
10501048,4,6325.8876953125
10501048,5,5336.1357421875
10501048,6,4560.0107421875
10501048,7,4007.143310546875
10501048,8,3402.841064453125
10501048,9,3102.021484375
10501048,10,3355.283447265625
10501048,11,3366.686767578125
10501048,12,4227.70361328125
10501047,1,6242.197265625
10501047,2,7129.15771484375
10501047,3,6868.580078125
10501047,4,6506.115234375
10501047,5,5796.51708984375
10501047,6,4910.13818359375
10501047,7,4240.1865234375
10501047,8,3570.211669921875
10501047,9,3134.090087890625
10501047,10,3390.72509765625
10501047,11,3434.690185546875
10501047,12,4494.4189453125
10501046,1,5591.94873046875
10501046,2,6717.6728515625
10501046,3,6616.48681640625
10501046,4,6109.36181640625
10501046,5,5499.78857421875
10501046,6,4153.4150390625
10501046,7,3655.15478515625
10501046,8,3158.0205078125
10501046,9,2897.53125
10501046,10,2821.0859375
10501046,11,2816.4755859375
10501046,12,3450.884765625
10501045,1,5841.4189453125
10501045,2,6705.06005859375
10501045,3,6678.80859375
10501045,4,6365.24267578125
10501045,5,5738.3056640625
10501045,6,4600.4794921875
10501045,7,4010.02392578125
10501045,8,3423.266845703125
10501045,9,3068.837646484375
10501045,10,3124.453369140625
10501045,11,3061.92724609375
10501045,12,3638.47509765625
10501054,1,5499.00830078125
10501054,2,6653.0927734375
10501054,3,6395.32421875
10501054,4,6105.96630859375
10501054,5,5196.064453125
10501054,6,4313.0478515625
10501054,7,3965.255859375
10501054,8,3374.035400390625
10501054,9,2995.53466796875
10501054,10,3160.9521484375
10501054,11,3121.4892578125
10501054,12,4730.2490234375
10501058,1,5404.578125
10501058,2,6815.46337890625
10501058,3,6429.13525390625
10501058,4,5997.353515625
10501058,5,5274.89794921875
10501058,6,4101.76171875
10501058,7,3588.226806640625
10501058,8,3098.575439453125
10501058,9,2855.2197265625
10501058,10,2880.369384765625
10501058,11,2872.99951171875
10501058,12,3023.766845703125
10501055,1,5291.12353515625
10501055,2,6351.982421875
10501055,3,6056.1474609375
10501055,4,5810.0029296875
10501055,5,4865.6611328125
10501055,6,3746.564208984375
10501055,7,3530.91259765625
10501055,8,3031.02685546875
10501055,9,2809.493896484375
10501055,10,2758.20703125
10501055,11,2842.85986328125
10501055,12,4540.9208984375
10501056,1,5810.345703125
10501056,2,6660.24853515625
10501056,3,6402.21875
10501056,4,6199.24462890625
10501056,5,5370.208984375
10501056,6,4467.30712890625
10501056,7,4011.888427734375
10501056,8,3509.7158203125
10501056,9,3132.405029296875
10501056,10,3205.9619140625
10501056,11,3304.69970703125
10501056,12,4785.82275390625
10501057,1,5878.5009765625
10501057,2,6961.89208984375
10501057,3,6716.01171875
10501057,4,6287.939453125
10501057,5,5358.64306640625
10501057,6,4378.533203125
10501057,7,3856.8330078125
10501057,8,3435.751953125
10501057,9,2943.098388671875
10501057,10,3068.18115234375
10501057,11,3153.4072265625
10501057,12,4694.29833984375
10501043,1,5455.5595703125
10501043,2,6945.1162109375
10501043,3,6249.0400390625
10501043,4,5760.01611328125
10501043,5,5179.61669921875
10501043,6,3906.66015625
10501043,7,3464.26171875
10501043,8,3023.817138671875
10501043,9,2780.056884765625
10501043,10,2825.01171875
