GEO_ID,NAME,poptotal,popblack,pophispanic,poortotal,poorblack,poorhispanic
1400000US13095011400,"Census Tract 114, Dougherty County, Georgia",1324,1278,8,630,588,8
1400000US13095011600,"Census Tract 116, Dougherty County, Georgia",1620,799,129,204,32,10
1400000US13097080104,"Census Tract 801.04, Douglas County, Georgia",5152,3164,863,1051,431,495
1400000US13097080105,"Census Tract 801.05, Douglas County, Georgia",3888,3448,180,173,173,9
1400000US13097080106,"Census Tract 801.06, Douglas County, Georgia",3913,2176,406,697,128,109
1400000US13097080107,"Census Tract 801.07, Douglas County, Georgia",3602,2715,39,664,599,0
1400000US13097080201,"Census Tract 802.01, Douglas County, Georgia",6535,2250,1503,636,186,240
1400000US13097080203,"Census Tract 802.03, Douglas County, Georgia",7158,2565,2365,1050,196,398
1400000US13097080204,"Census Tract 802.04, Douglas County, Georgia",3389,1745,542,137,60,0
1400000US13097080303,"Census Tract 803.03, Douglas County, Georgia",3110,1352,340,817,234,37
1400000US13097080304,"Census Tract 803.04, Douglas County, Georgia",5582,2673,326,746,414,18
1400000US13097080305,"Census Tract 803.05, Douglas County, Georgia",5264,3088,717,1003,409,394
1400000US13097080306,"Census Tract 803.06, Douglas County, Georgia",3711,2718,438,488,480,0
1400000US13097080307,"Census Tract 803.07, Douglas County, Georgia",3619,2868,19,222,40,9
1400000US13097080403,"Census Tract 804.03, Douglas County, Georgia",5010,1674,207,397,155,28
1400000US13097080405,"Census Tract 804.05, Douglas County, Georgia",4868,838,51,169,0,0
1400000US13097080406,"Census Tract 804.06, Douglas County, Georgia",3688,297,47,325,0,0
1400000US13097080407,"Census Tract 804.07, Douglas County, Georgia",4327,1775,249,414,52,0
1400000US13097080408,"Census Tract 804.08, Douglas County, Georgia",2944,1129,49,430,61,49
1400000US13097080505,"Census Tract 805.05, Douglas County, Georgia",4560,1693,161,856,422,20
1400000US13097080506,"Census Tract 805.06, Douglas County, Georgia",5330,1259,400,942,301,12
1400000US13097080507,"Census Tract 805.07, Douglas County, Georgia",4416,1482,257,364,290,30
1400000US13097080508,"Census Tract 805.08, Douglas County, Georgia",4295,1571,422,493,298,62
1400000US13097080509,"Census Tract 805.09, Douglas County, Georgia",6399,3020,432,485,62,13
1400000US13097080512,"Census Tract 805.12, Douglas County, Georgia",5097,1991,829,574,337,84
1400000US13097080513,"Census Tract 805.13, Douglas County, Georgia",4997,3610,315,917,862,0
1400000US13097080514,"Census Tract 805.14, Douglas County, Georgia",4238,2060,145,203,0,30
1400000US13097080515,"Census Tract 805.15, Douglas County, Georgia",5138,3322,770,262,181,29
1400000US13097080602,"Census Tract 806.02, Douglas County, Georgia",6964,3028,1067,657,343,72
1400000US13097080605,"Census Tract 806.05, Douglas County, Georgia",3851,1324,96,372,239,0
