code,fclass,province,lon,lat
2082,elementaryschool,Seoul,127.0635822,37.6149815
2082,elementaryschool,Seoul,127.0637914,37.6150027
2082,middleschool,Seoul,127.0581454,37.6190844
2082,elementaryschool,Seoul,127.0587406,37.6183278
2082,elementaryschool,Seoul,127.0583061,37.6178434
2082,elementaryschool,Seoul,127.058172,37.6179496
2082,middleschool,Seoul,127.0585263,37.6183408
2082,elementaryschool,Seoul,127.0581792,37.6188052
2082,elementaryschool,Seoul,127.0581332,37.6188652
2501,supermarket,Seoul,127.0580137,37.6190245
2501,supermarket,Seoul,127.0581454,37.6190844
2082,school,Seoul,127.1193249,37.5322218
2501,supermarket,Seoul,127.1194606,37.5323734
2082,highschool,Seoul,127.1197664,37.5331944
2082,highschool,Seoul,127.1199166,37.533288
2082,school,Seoul,127.12102,37.5330385
2110,hospital,Seoul,127.1211166,37.5329577
2082,middleschool,Seoul,127.1207642,37.5319055
2082,elementaryschool,Seoul,127.1207035,37.5317538
2082,elementaryschool,Seoul,127.1205228,37.5317353
2082,elementaryschool,Seoul,127.119246,37.5320374
2082,elementaryschool,Seoul,127.1193249,37.5322218
2082,elementaryschool,Seoul,127.0947998,37.4987461
2082,school,Seoul,127.0948788,37.4992457
2082,highschool,Seoul,127.0966182,37.4991393
2082,school,Seoul,127.0964838,37.4974974
2501,supermarket,Seoul,127.0962808,37.49741
2082,elementaryschool,Seoul,127.0946727,37.4979492
2082,school,Seoul,127.0947998,37.4987461
2082,highschool,Seoul,127.1128724,37.515287
2082,middleschool,Seoul,127.1129269,37.5153019
2082,highschool,Seoul,127.1139042,37.514916
2082,middleschool,Seoul,127.1131522,37.5137054
2082,school,Seoul,127.1121371,37.514105
2110,hospital,Seoul,127.1128724,37.515287
2082,middleschool,Seoul,127.1202626,37.5090229
2082,elementaryschool,Seoul,127.1210089,37.508713
2082,school,Seoul,127.1218713,37.5084299
2082,highschool,Seoul,127.1213286,37.5076732
2082,highschool,Seoul,127.1198075,37.5082848
2082,elementaryschool,Seoul,127.1202626,37.5090229
2082,highschool,Seoul,127.1208179,37.5141834
2082,highschool,Seoul,127.1210324,37.5142281
2082,school,Seoul,127.1219049,37.5138889
2501,supermarket,Seoul,127.1210633,37.5125313
2082,middleschool,Seoul,127.1200334,37.5128909
2082,elementaryschool,Seoul,127.1208179,37.5141834
2501,supermarket,Seoul,127.112444,37.5023257
2082,highschool,Seoul,127.1134533,37.502844
2501,supermarket,Seoul,127.1146488,37.5019895
2501,supermarket,Seoul,127.1152504,37.5013141
2501,supermarket,Seoul,127.1141748,37.5010375
2110,hospital,Seoul,127.1133698,37.5005011
2082,elementaryschool,Seoul,127.1128825,37.5009694
2082,school,Seoul,127.1125459,37.5008
2082,school,Seoul,127.1124387,37.5009
2082,highschool,Seoul,127.112444,37.5023257
2082,school,Seoul,127.1171106,37.5019961
2082,highschool,Seoul,127.1171835,37.5019171
2082,middleschool,Seoul,127.1178803,37.5011193
2082,elementaryschool,Seoul,127.1175249,37.5009289
2082,school,Seoul,127.1166988,37.5005459
2082,elementaryschool,Seoul,127.1158504,37.5014575
2082,middleschool,Seoul,127.1171106,37.5019961
2082,highschool,Seoul,127.1173045,37.5023273
2082,school,Seoul,127.1186009,37.5029817
2082,highschool,Seoul,127.119348,37.5021256
2110,hospital,Seoul,127.1179623,37.5014232
2082,middleschool,Seoul,127.1174272,37.5020503
2082,school,Seoul,127.1172847,37.5022172
2082,highschool,Seoul,127.1173045,37.5023273
2110,hospital,Seoul,127.1294251,37.5051929
2082,elementaryschool,Seoul,127.1304054,37.5045943
2082,elementaryschool,Seoul,127.1293299,37.5034856
2082,middleschool,Seoul,127.1283494,37.5040843
2082,elementaryschool,Seoul,127.1294251,37.5051929
2082,middleschool,Seoul,127.1283922,37.4897913
2082,school,Seoul,127.1308062,37.4882505
2082,school,Seoul,127.129795,37.4873519
2082,middleschool,Seoul,127.128721,37.4879923
2082,elementaryschool,Seoul,127.128263,37.4882839
2082,highschool,Seoul,127.1278235,37.4886421
2082,elementaryschool,Seoul,127.1283922,37.4897913
2082,elementaryschool,Seoul,126.9649993,37.5333148
2082,middleschool,Seoul,126.9650602,37.5330566
2082,highschool,Seoul,126.9644665,37.5329686
2082,middleschool,Seoul,126.9644057,37.5332268
2082,highschool,Seoul,126.9649993,37.5333148
2082,middleschool,Seoul,127.0855428,37.529786
2082,elementaryschool,Seoul,127.0851201,37.5303178
2082,highschool,Seoul,127.0863571,37.5308899
2082,elementaryschool,Seoul,127.086791,37.5303134
2082,elementaryschool,Seoul,127.0868332,37.5302352
2082,elementaryschool,Seoul,127.0868389,37.5301547
2082,school,Seoul,127.0866022,37.5288833
2082,elementaryschool,Seoul,127.086157,37.5288967
2082,highschool,Seoul,127.0851596,37.5285928
2082,elementaryschool,Seoul,127.0845481,37.529328
2082,elementaryschool,Seoul,127.0855428,37.529786
2082,elementaryschool,Seoul,127.0827767,37.5313965
2082,highschool,Seoul,127.0830736,37.5314475
2082,school,Seoul,127.0832813,37.5314953
2082,school,Seoul,127.0834651,37.531547
2082,middleschool,Seoul,127.083741,37.5310572
2082,elementaryschool,Seoul,127.0834695,37.5309604
2082,elementaryschool,Seoul,127.0832185,37.530898
2082,middleschool,Seoul,127.0828081,37.5308238
2082,highschool,Seoul,127.0826487,37.5308127
2082,highschool,Seoul,127.0826322,37.5308281
2082,highschool,Seoul,127.0825655,37.5313827
2082,elementaryschool,Seoul,127.0827767,37.5313965
2082,highschool,Seoul,127.074995,37.5304724
2082,middleschool,Seoul,127.0762301,37.5302545
2082,highschool,Seoul,127.0760645,37.529664
2082,elementaryschool,Seoul,127.075479,37.5297672
2082,elementaryschool,Seoul,127.075474,37.5297492
2082,elementaryschool,Seoul,127.0748243,37.5298638
2082,middleschool,Seoul,127.074995,37.5304724
2082,middleschool,Seoul,127.0686693,37.5351012
2082,highschool,Seoul,127.068775,37.5351234
2082,elementaryschool,Seoul,127.070084,37.5347268
2082,elementaryschool,Seoul,127.0697652,37.5340379
2082,elementaryschool,Seoul,127.0683604,37.5344393
2082,highschool,Seoul,127.0686693,37.5351012
2082,elementaryschool,Seoul,126.9472448,37.5834214
2082,highschool,Seoul,126.9474031,37.5832831
2082,middleschool,Seoul,126.9472277,37.5831541
2082,elementaryschool,Seoul,126.9470658,37.583296
2082,highschool,Seoul,126.9472448,37.5834214
2082,elementaryschool,Seoul,126.9432953,37.4810537
2082,highschool,Seoul,126.9433182,37.4810518
2082,elementaryschool,Seoul,126.943653,37.4810147
2082,middleschool,Seoul,126.9438252,37.4809973
2082,elementaryschool,Seoul,126.9439821,37.4809792
2082,elementaryschool,Seoul,126.944025,37.480972
2082,elementaryschool,Seoul,126.9440109,37.4809017
2082,middleschool,Seoul,126.9440048,37.4808658
2082,elementaryschool,Seoul,126.943936,37.4804656
2082,elementaryschool,Seoul,126.9439277,37.4804146
2082,elementaryschool,Seoul,126.9439081,37.4803028
2082,highschool,Seoul,126.9438652,37.4800734
2082,elementaryschool,Seoul,126.9435859,37.4801022
2082,middleschool,Seoul,126.9435024,37.4801113
2082,elementaryschool,Seoul,126.9429042,37.4801712
2082,highschool,Seoul,126.9426443,37.4802089
2082,highschool,Seoul,126.9426125,37.4803282
2082,highschool,Seoul,126.9425539,37.4806596
2082,middleschool,Seoul,126.9424749,37.4811228
2082,elementaryschool,Seoul,126.9432953,37.4810537
2082,school,Seoul,126.9434618,37.4759863
2082,middleschool,Seoul,126.9435112,37.4762889
2082,elementaryschool,Seoul,126.9435909,37.476777
2082,elementaryschool,Seoul,126.9436166,37.4769342
2082,middleschool,Seoul,126.9439182,37.4769016
2082,highschool,Seoul,126.9440096,37.4768917
2082,elementaryschool,Seoul,126.9444335,37.4768458
2082,elementaryschool,Seoul,126.944773,37.4768091
2082,elementaryschool,Seoul,126.9454282,37.4767381
2082,highschool,Seoul,126.9460061,37.4766732
2082,elementaryschool,Seoul,126.9459484,37.4763401
2082,middleschool,Seoul,126.945811,37.4755477
2082,elementaryschool,Seoul,126.9435938,37.475801
2082,middleschool,Seoul,126.9434344,37.4758189
2110,hospital,Seoul,126.9434618,37.4759863
2082,elementaryschool,Seoul,126.9504286,37.4756822
2082,elementaryschool,Seoul,126.950594,37.4759401
2082,elementaryschool,Seoul,126.9510793,37.476744
2082,highschool,Seoul,126.9515394,37.4768003
2082,highschool,Seoul,126.9515762,37.4766118
2082,highschool,Seoul,126.9518159,37.4753839
2082,middleschool,Seoul,126.950428,37.4753622
2082,school,Seoul,126.9504286,37.4756822
2082,highschool,Seoul,127.1284593,37.505764
2082,highschool,Seoul,127.1293868,37.5051912
2082,highschool,Seoul,127.1283401,37.5040962
2082,highschool,Seoul,127.1274193,37.5047192
2082,elementaryschool,Seoul,127.1284593,37.505764
2501,supermarket,Seoul,126.9449549,37.4709888
2082,highschool,Seoul,126.9459501,37.4702872
2082,elementaryschool,Seoul,126.9451877,37.4696488
2082,elementaryschool,Seoul,126.9444086,37.470258
2082,highschool,Seoul,126.9436826,37.4707241
2082,middleschool,Seoul,126.9449549,37.4709888
2082,highschool,Seoul,127.0405382,37.5628364
2082,elementaryschool,Seoul,127.0405581,37.5619475
2082,highschool,Seoul,127.0393781,37.5619375
2082,middleschool,Seoul,127.039362,37.5628517
2082,elementaryschool,Seoul,127.0405382,37.5628364
2082,middleschool,Seoul,127.0416927,37.5616541
2082,elementaryschool,Seoul,127.0418482,37.5622735
2082,school,Seoul,127.0420692,37.5622707
2082,elementaryschool,Seoul,127.0425242,37.562017
2082,elementaryschool,Seoul,127.0430174,37.5624918
2082,elementaryschool,Seoul,127.0438541,37.5623199
2082,middleschool,Seoul,127.0439646,37.5618564
2082,middleschool,Seoul,127.0440535,37.5614835
2082,elementaryschool,Seoul,127.0442596,37.5612477
2082,school,Seoul,127.0439237,37.5610874
2082,highschool,Seoul,127.0438346,37.5611969
2082,school,Seoul,127.043785,37.5611935
2082,school,Seoul,127.0437207,37.5612454
2082,elementaryschool,Seoul,127.0436473,37.5612487
2082,school,Seoul,127.043467,37.5613759
2082,school,Seoul,127.0431005,37.5612424
2082,highschool,Seoul,127.0432538,37.5610086
2082,school,Seoul,127.0432,37.5609846
2082,school,Seoul,127.0431106,37.5607682
2082,elementaryschool,Seoul,127.0418734,37.5602567
2082,school,Seoul,127.041766,37.5604045
2082,elementaryschool,Seoul,127.041693,37.5603918
2082,school,Seoul,127.041668,37.5604587
2082,elementaryschool,Seoul,127.0416073,37.5605985
2082,highschool,Seoul,127.0415292,37.5607809
2082,school,Seoul,127.0414776,37.5607979
2082,elementaryschool,Seoul,127.0416927,37.5616541
2082,middleschool,Seoul,127.0640837,37.6519599
2082,elementaryschool,Seoul,127.0643435,37.6512306
2082,middleschool,Seoul,127.0644494,37.6509333
2082,elementaryschool,Seoul,127.0632142,37.6506575
2082,school,Seoul,127.0628486,37.6516841
2082,elementaryschool,Seoul,127.0640837,37.6519599
2082,highschool,Seoul,127.0652848,37.6522365
2082,elementaryschool,Seoul,127.0656401,37.6512492
2082,elementaryschool,Seoul,127.0647731,37.6510693
2082,highschool,Seoul,127.0644977,37.6510121
2082,school,Seoul,127.0641563,37.6519772
2110,hospital,Seoul,127.0652848,37.6522365
2082,middleschool,Seoul,126.9506297,37.5790391
2082,school,Seoul,126.9507132,37.5790489
2082,elementaryschool,Seoul,126.9507967,37.5791641
2082,highschool,Seoul,126.9507472,37.5792498
2082,middleschool,Seoul,126.9507596,37.5792817
2082,highschool,Seoul,126.9509667,37.5795855
2082,elementaryschool,Seoul,126.9510254,37.5797398
2082,elementaryschool,Seoul,126.9510594,37.5798035
2110,hospital,Seoul,126.9510934,37.5798991
2082,elementaryschool,Seoul,126.9511522,37.5799554
2082,elementaryschool,Seoul,126.9512091,37.5799915
2082,elementaryschool,Seoul,126.9512758,37.5800338
2082,elementaryschool,Seoul,126.9514119,37.5801073
2082,elementaryschool,Seoul,126.9517303,37.580024
2082,middleschool,Seoul,126.9518941,37.5799383
2082,highschool,Seoul,126.9519654,37.5798979
2082,highschool,Seoul,126.9520513,37.5798535
2082,middleschool,Seoul,126.9524124,37.5796242
2082,elementaryschool,Seoul,126.9525206,37.5795524
